product_cd,unit_price,unit_cost,new_price,new_profit_rate
P040101001,198,149,213,0.30046948356807511737
P040101002,218,164,234,0.29914529914529914530
P040101003,230,173,247,0.29959514170040485830
P040101004,248,186,266,0.30075187969924812030
P040101005,268,201,287,0.29965156794425087108
P040101006,298,224,320,0.30000000000000000000
P040101007,338,254,363,0.30027548209366391185
P040101008,420,315,450,0.30000000000000000000
P040101009,498,374,534,0.29962546816479400749
P040101010,580,435,621,0.29951690821256038647
