customer_id,sum_all,sum_07,sales_rate
CS001311000059,2302,102,0.04430929626411815812
CS011615000061,246,98,0.39837398373983739837
CS029212000033,3604,3604,1.00000000000000000000
CS007515000119,7157,2832,0.39569652088864049183
CS034515000123,3699,1202,0.32495268991619356583
CS026414000014,6671,3142,0.47099385399490331285
CS001615000099,768,318,0.41406250000000000000
CS010515000082,1482,553,0.37314439946018893387
CS019315000045,813,380,0.46740467404674046740
CS008513000099,1322,210,0.15885022692889561271
